Month,Sales of shampoo over a three year period
1-01-15,266
1-02-15,145.9
1-03-15,183.1
1-04-15,119.3
1-05-15,180.3
1-06-15,168.5
1-07-15,231.8
1-08-15,224.5
1-09-15,192.8
1-10-15,122.9
1-11-15,336.5
1-12-15,185.9
1-01-16,194.3
1-02-16,149.5
1-03-16,210.1
1-04-16,273.3
1-05-16,191.4
1-06-16,287
1-07-16,226
1-08-16,303.6
1-09-16,289.9
1-10-16,421.6
1-11-16,264.5
1-12-16,342.3
1-01-17,339.7
1-02-17,440.4
1-03-17,315.9
1-04-17,439.3
1-05-17,401.3
1-06-17,437.4
1-07-17,575.5
1-08-17,407.6
1-09-17,682
1-10-17,475.3
1-11-17,581.3
1-12-17,646.9
